system:index,Code Departamento,Code Provincia,Date (YMD),Departamento,Provincia,codeRio,distanciaRio,elevacion_m,estacion,fecha0,fechas,hayRioCercano,idx,lat,lon,pendiente_grados,precipitation_sum,runoff_sum,temperature_2m,tipoDeSuelo,total_evaporation_sum,volumetric_soil_water_layer_1,.geo
32,30008,30,22/4/1996,Colon,Entre Rios,32026-6403,25.96,31,otoño,1996-04-22,"[1996-04-22, 1996-04-23, 1996-04-24, 1996-04-25, 1996-04-26, 1996-04-27, 1996-04-28]",false,32,-31.70735861,-58.28660961,1.43,"[1.3, 4.2, 68.7, 0, 0.3, 0, 12.2]",1.583993434906006E-5,292.77889251708984,Entisoles,-0.0017539234831929207,0.418118158976237,"{""type"":""Point"",""coordinates"":[-58.28660961,-31.70735861]}"
33,30098,30,18/4/2011,Uruguay,Entre Rios,7061-2233,5.89,21,otoño,2011-04-18,"[2011-04-18, 2011-04-19, 2011-04-20, 2011-04-21, 2011-04-22, 2011-04-23, 2011-04-24]",true,33,-32.38095474,-58.23688127,0,"[0, 0, 54.5, 0, 1, 0, 0]",6.781518459320068E-5,287.63232803344727,Entisoles,-0.0032574674114584923,0.22454134623209634,"{""type"":""Point"",""coordinates"":[-58.23688127,-32.38095474000001]}"
34,34049,34,3/1/2008,Pilcomayo,Formosa,36840-7239,50.93,78,verano,2007-12-31,"[2007-12-31, 2008-01-01, 2008-01-02, 2008-01-03, 2008-01-04, 2008-01-05, 2008-01-06]",false,34,-25.11711311,-58.18847657,0,"[14.2, 3.1, 0.7, 0.5, 13.5, 0.4, 0]",6.976276636123657E-4,298.9601313273112,Rio,-0.004239077679812908,0.46663538614908856,"{""type"":""Point"",""coordinates"":[-58.18847657,-25.117113110000002]}"
35,30015,30,7/12/2002,Concordia,Entre Rios,6557-2063,4.51,37,primavera,2002-12-02,"[2002-12-02, 2002-12-03, 2002-12-04, 2002-12-05, 2002-12-06, 2002-12-07, 2002-12-08]",true,35,-31.35230446,-58.05355072,6.42,"[0, 7.6, 14.4, 38, 0.6, 0.6, 0]",0.0025885701179504395,293.239054997762,Vertisoles,-0.005526291206479073,0.23661931355794272,"{""type"":""Point"",""coordinates"":[-58.05355072,-31.352304459999996]}"
36,30070,30,27/4/1990,La Paz,Entre Rios,6543-2055,11.16,36,otoño,1990-04-23,"[1990-04-23, 1990-04-24, 1990-04-25, 1990-04-26, 1990-04-27, 1990-04-28, 1990-04-29]",true,36,-30.60360412,-59.52751986,4.26,"[1.5, 8.6, 3.8, 2.6, 0, 0, 0]",5.549192428588867E-5,293.05241839090985,Molisoles,-8.147889748215675E-4,0.4760589599609375,"{""type"":""Point"",""coordinates"":[-59.52751986,-30.60360412]}"
37,30008,30,8/3/2008,Colon,Entre Rios,32026-6403,25.96,31,verano,2008-03-03,"[2008-03-03, 2008-03-04, 2008-03-05, 2008-03-06, 2008-03-07, 2008-03-08, 2008-03-09]",false,37,-31.70735861,-58.28660961,1.43,"[6.6, 4.9, 0, 0, 0, 0.8, 0.3]",4.8995018005371094E-5,294.8380762736003,Entisoles,-0.003375754691660404,0.4659461975097656,"{""type"":""Point"",""coordinates"":[-58.28660961,-31.70735861]}"
38,30098,30,28/10/2009,Uruguay,Entre Rios,7061-2233,5.89,21,primavera,2009-10-26,"[2009-10-26, 2009-10-27, 2009-10-28, 2009-10-29, 2009-10-30, 2009-10-31, 2009-11-01]",true,38,-32.38095474,-58.23688127,0,"[0, 0, 0, 0, 0.5, 0, 0.3]",5.856156349182129E-5,289.7058334350586,Entisoles,-0.005133096128702164,0.1515045166015625,"{""type"":""Point"",""coordinates"":[-58.23688127,-32.38095474000001]}"
39,30015,30,3/9/2001,Concordia,Entre Rios,6557-2063,4.51,37,invierno,2001-09-03,"[2001-09-03, 2001-09-04, 2001-09-05, 2001-09-06, 2001-09-07, 2001-09-08, 2001-09-09]",true,39,-31.35230446,-58.05355072,6.42,"[3.1, 0.3, 0, 0.4, 10.5, 0, 0.9]",0.0020443201065063477,288.10058339436847,Vertisoles,-8.859653025865555E-4,0.29457855224609375,"{""type"":""Point"",""coordinates"":[-58.05355072,-31.352304459999996]}"
40,18119,18,22/5/1996,Paso de los Libres,Corrientes,1383-1063,15.85,57,otoño,1996-05-20,"[1996-05-20, 1996-05-21, 1996-05-22, 1996-05-23, 1996-05-24, 1996-05-25, 1996-05-26]",false,40,-29.87793885,-57.53288465,1.42,"[0, 0, 1.1, 0, 0, 0.9, 0]",0.0013586580753326416,285.6301034291585,Molisoles,-0.0021139662712812424,0.4056529998779297,"{""type"":""Point"",""coordinates"":[-57.53288465,-29.877938850000003]}"
41,18168,18,5/1/1995,Santo Tome,Corrientes,68-68,3.13,96,verano,1995-01-02,"[1995-01-02, 1995-01-03, 1995-01-04, 1995-01-05, 1995-01-06, 1995-01-07, 1995-01-08]",true,41,-28.51878167,-56.05544289,2.13,"[1.6, 3.4, 4.8, 5.2, 0, 0, 0.4]",5.126446485519409E-4,301.04993693033856,Ultisoles,-0.004900604486465454,0.3776238759358724,"{""type"":""Point"",""coordinates"":[-56.05544289,-28.518781670000006]}"
42,18049,18,22/7/1994,Esquina,Corrientes,9200-2836,11.96,43,invierno,1994-07-18,"[1994-07-18, 1994-07-19, 1994-07-20, 1994-07-21, 1994-07-22, 1994-07-23, 1994-07-24]",true,42,-30.0784368,-59.4055912,1.42,"[0, 0, 0, 1, 3.5, 0, 0]",3.412365913391113E-5,293.7208302815755,Complejo indiferenci,-0.0016657309606671333,0.2519982655843099,"{""type"":""Point"",""coordinates"":[-59.405591199999996,-30.0784368]}"
