system:index,Code Departamento,Code Provincia,Date (YMD),Departamento,Provincia,codeRio,distanciaRio,estacion,fecha0,fechas,hayRioCercano,idx,lat,lon,runoff_sum,temperature_2m,tipoDeSuelo,total_evaporation_sum,volumetric_soil_water_layer_1,.geo
0,54028,54,29/6/2014,Capital,Misiones,14-14,8.07,invierno,2014-06-23,"[2014-06-23, 2014-06-24, 2014-06-25, 2014-06-26, 2014-06-27, 2014-06-28, 2014-06-29]",true,0,-27.47659493,-55.92169961,0.01453717052936554,291.45590527852374,Alfisoles,-0.0011485274881124496,0.46769078572591144,"{""type"":""Point"",""coordinates"":[-55.92169961,-27.47659493]}"
1,06098,6,6/2/2014,Berisso,Buenos Aires,3314-1708,0.7,verano,2014-02-03,"[2014-02-03, 2014-02-04, 2014-02-05, 2014-02-06, 2014-02-07, 2014-02-08, 2014-02-09]",true,1,-34.84587606,-57.87973336,,,Miscelaneas,,,"{""type"":""Point"",""coordinates"":[-57.87973336,-34.84587606]}"
2,06427,6,28/10/2014,La Matanza,Buenos Aires,33486-6512,4.98,primavera,2014-10-27,"[2014-10-27, 2014-10-28, 2014-10-29, 2014-10-30, 2014-10-31, 2014-11-01, 2014-11-02]",true,2,-34.71417289,-58.50890438,6.224066019058228E-4,299.02834765116376,Molisoles,-0.0032360348850488663,0.20611699422200522,"{""type"":""Point"",""coordinates"":[-58.50890437999999,-34.71417289000001]}"
3,50007,50,12/2/2014,Capital,Mendoza,6840-2183,42.83,verano,2014-02-10,"[2014-02-10, 2014-02-11, 2014-02-12, 2014-02-13, 2014-02-14, 2014-02-15, 2014-02-16]",false,3,-32.87749385,-68.85278707,7.301568984985352E-7,296.4107042948405,Entisoles,-9.836694225668907E-4,0.16572125752766928,"{""type"":""Point"",""coordinates"":[-68.85278707,-32.87749385]}"
4,14063,14,2/3/2015,Marcos Juarez,Cordoba,34344-6360,15.81,verano,2015-03-02,"[2015-03-02, 2015-03-03, 2015-03-04, 2015-03-05, 2015-03-06, 2015-03-07, 2015-03-08]",false,4,-32.62947464,-62.30913162,8.463859558105469E-6,296.1630051930745,Molisoles,-0.003030844032764435,0.45834096272786456,"{""type"":""Point"",""coordinates"":[-62.30913162,-32.629474640000005]}"
5,14063,14,2/3/2015,Marcos Juarez,Cordoba,34344-6360,15.81,verano,2015-03-02,"[2015-03-02, 2015-03-03, 2015-03-04, 2015-03-05, 2015-03-06, 2015-03-07, 2015-03-08]",false,5,-32.62947464,-62.30913162,8.463859558105469E-6,296.1630051930745,Molisoles,-0.003030844032764435,0.45834096272786456,"{""type"":""Point"",""coordinates"":[-62.30913162,-32.629474640000005]}"
6,14021,14,2/3/2015,Colon,Cordoba,33948-6745,20.69,verano,2015-03-02,"[2015-03-02, 2015-03-03, 2015-03-04, 2015-03-05, 2015-03-06, 2015-03-07, 2015-03-08]",false,6,-31.25624481,-63.95340394,2.905726432800293E-5,295.8409023284912,Miscelaneas,-0.003029913641512394,0.3947563171386719,"{""type"":""Point"",""coordinates"":[-63.953403939999994,-31.256244809999995]}"
7,14140,14,25/2/2015,San Justo,Cordoba,6955-2119,12.54,verano,2015-02-23,"[2015-02-23, 2015-02-24, 2015-02-25, 2015-02-26, 2015-02-27, 2015-02-28, 2015-03-01]",true,7,-31.23400374,-62.74066613,9.685754776000977E-7,297.69277318318683,Alfisoles,-0.0040434375405311584,0.26619720458984375,"{""type"":""Point"",""coordinates"":[-62.74066613,-31.234003740000002]}"
8,14140,14,25/2/2015,San Justo,Cordoba,6955-2119,12.54,verano,2015-02-23,"[2015-02-23, 2015-02-24, 2015-02-25, 2015-02-26, 2015-02-27, 2015-02-28, 2015-03-01]",true,8,-31.23400374,-62.74066613,9.685754776000977E-7,297.69277318318683,Alfisoles,-0.0040434375405311584,0.26619720458984375,"{""type"":""Point"",""coordinates"":[-62.74066613,-31.234003740000002]}"
9,14140,14,25/2/2015,San Justo,Cordoba,6955-2119,12.54,verano,2015-02-23,"[2015-02-23, 2015-02-24, 2015-02-25, 2015-02-26, 2015-02-27, 2015-02-28, 2015-03-01]",true,9,-31.23400374,-62.74066613,9.685754776000977E-7,297.69277318318683,Alfisoles,-0.0040434375405311584,0.26619720458984375,"{""type"":""Point"",""coordinates"":[-62.74066613,-31.234003740000002]}"
10,14098,14,25/2/2015,Rio Cuarto,Cordoba,34345-6361,23.14,verano,2015-02-23,"[2015-02-23, 2015-02-24, 2015-02-25, 2015-02-26, 2015-02-27, 2015-02-28, 2015-03-01]",false,10,-32.64751095,-64.22141859,5.960464477539063E-8,295.4457842508952,Complejo indiferenci,-0.0038398653268814087,0.25366655985514325,"{""type"":""Point"",""coordinates"":[-64.22141859,-32.64751095]}"
11,06875,6,6/9/2012,Villarino,Buenos Aires,33091-6394,29.23,invierno,2012-09-03,"[2012-09-03, 2012-09-04, 2012-09-05, 2012-09-06, 2012-09-07, 2012-09-08, 2012-09-09]",false,11,-39.4323988,-62.9350751,8.463859558105469E-6,281.09694417317706,Molisoles,-7.848339155316353E-4,0.120330810546875,"{""type"":""Point"",""coordinates"":[-62.935075100000006,-39.4323988]}"
12,82042,82,10/8/2015,General Lopez,Santa Fe,6725-2212,8.61,invierno,2015-08-10,"[2015-08-10, 2015-08-11, 2015-08-12, 2015-08-13, 2015-08-14, 2015-08-15, 2015-08-16]",true,12,-34.17471073,-62.05032677,1.0223686695098877E-4,284.5526574452718,Molisoles,-0.001829506829380989,0.41796239217122394,"{""type"":""Point"",""coordinates"":[-62.05032677,-34.17471073]}"
13,06357,6,10/8/2015,General Pueyrredon,Buenos Aires,3347-1742,17.47,invierno,2015-08-10,"[2015-08-10, 2015-08-11, 2015-08-12, 2015-08-13, 2015-08-14, 2015-08-15, 2015-08-16]",false,13,-37.80766254,-57.62989086,0.006689161062240601,282.4353885650635,Molisoles,-0.001512475311756134,0.4706554412841797,"{""type"":""Point"",""coordinates"":[-57.62989086,-37.80766254000001]}"
14,82105,82,13/1/2015,San Jeronimo,Santa Fe,123-123,29.33,verano,2015-01-12,"[2015-01-12, 2015-01-13, 2015-01-14, 2015-01-15, 2015-01-16, 2015-01-17, 2015-01-18]",false,14,-32.2399352,-61.231266,7.003545761108398E-7,299.9401461283366,Molisoles,-0.005336340516805649,0.42922719319661456,"{""type"":""Point"",""coordinates"":[-61.231266,-32.2399352]}"
15,82133,82,13/1/2015,Vera,Santa Fe,3041-1094,9.46,verano,2015-01-12,"[2015-01-12, 2015-01-13, 2015-01-14, 2015-01-15, 2015-01-16, 2015-01-17, 2015-01-18]",true,15,-29.72572798,-60.28951287,2.1263957023620605E-5,300.6671969095866,Lagunas,-0.0057938434183597565,0.47377904256184894,"{""type"":""Point"",""coordinates"":[-60.28951287,-29.72572798]}"
16,82049,82,13/1/2015,General Obligado,Santa Fe,32822-6509,17.99,verano,2015-01-12,"[2015-01-12, 2015-01-13, 2015-01-14, 2015-01-15, 2015-01-16, 2015-01-17, 2015-01-18]",false,16,-28.6765561,-59.7497004,5.0127506256103516E-5,301.41223271687824,Alfisoles,-0.006106188520789146,0.43047332763671875,"{""type"":""Point"",""coordinates"":[-59.7497004,-28.676556099999996]}"
17,22140,22,13/1/2015,San Fernando,Chaco,6254-1933,11.88,verano,2015-01-12,"[2015-01-12, 2015-01-13, 2015-01-14, 2015-01-15, 2015-01-16, 2015-01-17, 2015-01-18]",true,17,-27.92561531,-59.31798172,6.966292858123779E-5,302.3913180033366,Complejo indiferenci,-0.00645563006401062,0.3351128896077474,"{""type"":""Point"",""coordinates"":[-59.317981720000006,-27.925615310000005]}"
18,22014,22,23/12/2015,Bermejo,Chaco,32998-6511,18.89,verano,2015-12-21,"[2015-12-21, 2015-12-22, 2015-12-23, 2015-12-24, 2015-12-25, 2015-12-26, 2015-12-27]",false,18,-26.92175039,-58.77874597,4.219859838485718E-4,299.26625633239746,Rio,-0.0056894440203905106,0.4446086883544922,"{""type"":""Point"",""coordinates"":[-58.77874597,-26.92175039]}"
19,22140,22,23/12/2015,San Fernando,Chaco,6254-1933,11.88,verano,2015-12-21,"[2015-12-21, 2015-12-22, 2015-12-23, 2015-12-24, 2015-12-25, 2015-12-26, 2015-12-27]",true,19,-27.92561531,-59.31798172,4.5852363109588623E-4,299.5400193532308,Complejo indiferenci,-0.005482318811118603,0.3526604970296224,"{""type"":""Point"",""coordinates"":[-59.317981720000006,-27.925615310000005]}"
20,18077,18,22/12/2015,Itati,Corrientes,17-17,41.46,verano,2015-12-21,"[2015-12-21, 2015-12-22, 2015-12-23, 2015-12-24, 2015-12-25, 2015-12-26, 2015-12-27]",false,20,-27.35196615,-57.87393625,0.003442898392677307,299.6266892751058,Entisoles,-0.005040252581238747,0.4406566619873047,"{""type"":""Point"",""coordinates"":[-57.87393625,-27.35196615]}"
21,18133,18,22/12/2015,San Cosme,Corrientes,59-59,5.73,verano,2015-12-21,"[2015-12-21, 2015-12-22, 2015-12-23, 2015-12-24, 2015-12-25, 2015-12-26, 2015-12-27]",true,21,-27.36393313,-58.66198243,0.004867926239967346,299.46441713968915,Rio,-0.0054277172312140465,0.2982584635416667,"{""type"":""Point"",""coordinates"":[-58.66198243,-27.363933129999996]}"
22,18049,18,22/12/2015,Esquina,Corrientes,9200-2836,11.96,verano,2015-12-21,"[2015-12-21, 2015-12-22, 2015-12-23, 2015-12-24, 2015-12-25, 2015-12-26, 2015-12-27]",true,22,-30.0784368,-59.4055912,1.0225176811218262E-4,296.94635073343915,Complejo indiferenci,-0.003163461573421955,0.37055333455403644,"{""type"":""Point"",""coordinates"":[-59.405591199999996,-30.0784368]}"
23,18070,18,23/12/2015,Goya,Corrientes,6624-2091,11.86,verano,2015-12-21,"[2015-12-21, 2015-12-22, 2015-12-23, 2015-12-24, 2015-12-25, 2015-12-26, 2015-12-27]",true,23,-29.1751244,-58.88982054,0.0013111978769302368,298.15948549906415,Rio,-0.004072342999279499,0.35811487833658856,"{""type"":""Point"",""coordinates"":[-58.889820540000024,-29.1751244]}"
24,18091,18,22/12/2015,Lavalle,Corrientes,6577-2072,5.81,verano,2015-12-21,"[2015-12-21, 2015-12-22, 2015-12-23, 2015-12-24, 2015-12-25, 2015-12-26, 2015-12-27]",true,24,-28.9356733,-58.8052348,0.0015637874603271484,298.5690720876058,Complejo indiferenci,-0.004363003186881542,0.3770885467529297,"{""type"":""Point"",""coordinates"":[-58.8052348,-28.9356733]}"
25,18021,18,22/12/2015,Capital,Corrientes,6611-2085,6.4,verano,2015-12-21,"[2015-12-21, 2015-12-22, 2015-12-23, 2015-12-24, 2015-12-25, 2015-12-26, 2015-12-27]",true,25,-27.4064,-58.78276,0.00411437451839447,299.47963523864746,Rio,-0.005270368419587612,0.3476683298746745,"{""type"":""Point"",""coordinates"":[-58.78276,-27.4064]}"
26,82049,82,22/12/2015,General Obligado,Santa Fe,32822-6509,17.99,verano,2015-12-21,"[2015-12-21, 2015-12-22, 2015-12-23, 2015-12-24, 2015-12-25, 2015-12-26, 2015-12-27]",false,26,-28.6765561,-59.7497004,3.14563512802124E-5,299.1489060719808,Alfisoles,-0.004982089623808861,0.43468157450358075,"{""type"":""Point"",""coordinates"":[-59.7497004,-28.676556099999996]}"
27,82063,82,23/12/2015,La Capital,Santa Fe,103-103,23.73,verano,2015-12-21,"[2015-12-21, 2015-12-22, 2015-12-23, 2015-12-24, 2015-12-25, 2015-12-26, 2015-12-27]",false,27,-31.18858147,-60.62677383,3.6209821701049805E-6,297.6313279469808,Molisoles,-0.003119104541838169,0.3790321350097656,"{""type"":""Point"",""coordinates"":[-60.62677383,-31.18858147]}"
28,18021,18,6/12/2015,Capital,Corrientes,6611-2085,6.4,primavera,2015-11-30,"[2015-11-30, 2015-12-01, 2015-12-02, 2015-12-03, 2015-12-04, 2015-12-05, 2015-12-06]",true,28,-27.4064,-58.78276,0.004339590668678284,294.0069700876872,Rio,-0.007449916563928127,0.3406505584716797,"{""type"":""Point"",""coordinates"":[-58.78276,-27.4064]}"
29,22014,22,22/12/2015,Bermejo,Chaco,32998-6511,18.89,verano,2015-12-21,"[2015-12-21, 2015-12-22, 2015-12-23, 2015-12-24, 2015-12-25, 2015-12-26, 2015-12-27]",false,29,-26.92175039,-58.77874597,4.219859838485718E-4,299.26625633239746,Rio,-0.0056894440203905106,0.4446086883544922,"{""type"":""Point"",""coordinates"":[-58.77874597,-26.92175039]}"
30,30028,30,22/12/2015,Federacion,Entre Rios,1385-1073,7.52,verano,2015-12-21,"[2015-12-21, 2015-12-22, 2015-12-23, 2015-12-24, 2015-12-25, 2015-12-26, 2015-12-27]",true,30,-30.70681007,-57.88784914,0.002915024757385254,296.41900698343915,Molisoles,-0.0032871365547180176,0.2706788380940755,"{""type"":""Point"",""coordinates"":[-57.88784913999999,-30.70681007]}"
31,30028,30,22/12/2015,Federacion,Entre Rios,1385-1073,7.52,verano,2015-12-21,"[2015-12-21, 2015-12-22, 2015-12-23, 2015-12-24, 2015-12-25, 2015-12-26, 2015-12-27]",true,31,-30.70681007,-57.88784914,0.002915024757385254,296.41900698343915,Molisoles,-0.0032871365547180176,0.2706788380940755,"{""type"":""Point"",""coordinates"":[-57.88784913999999,-30.70681007]}"
32,30008,30,22/12/2015,Colon,Entre Rios,32026-6403,25.96,verano,2015-12-21,"[2015-12-21, 2015-12-22, 2015-12-23, 2015-12-24, 2015-12-25, 2015-12-26, 2015-12-27]",false,32,-31.70735861,-58.28660961,9.933114051818848E-5,296.0693162282308,Entisoles,-0.0037220772355794907,0.4270165761311849,"{""type"":""Point"",""coordinates"":[-58.28660961,-31.70735861]}"
33,30098,30,22/12/2015,Uruguay,Entre Rios,7061-2233,5.89,verano,2015-12-21,"[2015-12-21, 2015-12-22, 2015-12-23, 2015-12-24, 2015-12-25, 2015-12-26, 2015-12-27]",true,33,-32.38095474,-58.23688127,5.534887313842773E-4,296.06817690531415,Entisoles,-0.004338395781815052,0.23967297871907553,"{""type"":""Point"",""coordinates"":[-58.23688127,-32.38095474000001]}"
