Nombre,Code Departamento,lat,lon,Provincia
OBERA,54091,-27.3929091,-55.12277042,MISIONES
GENERAL LAVALLE,06336,-36.55442064,-57.07742058,BUENOS AIRES
SAN CAYETANO,06742,-38.6740577,-59.49935949,BUENOS AIRES
GENERAL BELGRANO,06301,-35.83441,-58.47736003,BUENOS AIRES
GUALEGUAY,30049,-33.55871824,-59.48052013,ENTRE RÍOS
BURRUYACU,90007,-26.36994,-64.78136,TUCUMÁN
SANTA ROSA,10098,-28.04503194,-65.27845615,CATAMARCA
TUMBAYA,38098,-23.83205605,-65.47557831,JUJUY
DOLORES,06238,-36.3899064,-57.6947905,BUENOS AIRES
GUATRACHE,42070,-37.57537932,-63.54911308,LA PAMPA
LORETO,86105,-28.47635326,-64.04507396,SANTIAGO DEL ESTERO
VILLAGUAY,30113,-31.77167964,-59.57091449,ENTRE RÍOS
GENERAL ROCA,62042,-39.13837603,-66.90952075,RÍO NEGRO
LA COSTA,06420,-36.48839763,-56.70043526,BUENOS AIRES
GENERAL GUEMES,66049,-24.75876236,-64.99394226,SALTA
RIO SEGUNDO,14119,-31.59773001,-63.24553941,CÓRDOBA
LAGO BUENOS AIRES,78035,-46.04208374,-71.65873718,SANTA CRUZ
VALCHETA,62084,-41.21434552,-66.33830967,RÍO NEGRO
MARCOS PAZ,06525,-34.776242,-58.9395696,BUENOS AIRES
CAPITAL,14014,-31.47878838,-64.14509583,CÓRDOBA
PUELEN,42112,-37.95782503,-67.82531198,LA PAMPA
DOCTOR MANUEL BELGRANO,38021,-24.02938843,-65.64742279,JUJUY
LA COCHA,90049,-27.75605583,-65.59912109,TUCUMÁN
ANCASTI,10014,-28.92693532,-65.52077229,CATAMARCA
LA CALDERA,66077,-24.57701543,-65.36872897,SALTA
TORDILLO,06812,-36.4708183,-57.1914178,BUENOS AIRES
CHILECITO,46042,-29.10233846,-67.60548106,LA RIOJA
CHIVILCOY,06224,-34.9440654,-60.1765372,BUENOS AIRES
PASO DE INDIOS,26070,-44.46556091,-68.47408295,CHUBUT
CAPITAL,46014,-29.72519684,-66.60608673,LA RIOJA
AVELLANEDA,06035,-34.67500565,-58.31056343,BUENOS AIRES
CAPITAL,66028,-24.70494203,-65.47051055,SALTA
