Nombre,Code Departamento,lat,lon,Provincia
GENERAL TABOADA,86077,-28.41299021,-62.79434139,SANTIAGO DEL ESTERO
USHUAIA,94014,-54.63768608,-67.76694086,"TIERRA DEL FUEGO, ANTÁRTIDA E ISLAS DEL ATLÁNTICO SUR"
SAN VICENTE,06778,-35.18311,-58.45241002,BUENOS AIRES
GENERAL LAMADRID,46077,-28.9762001,-68.21488953,LA RIOJA
JACHAL,70056,-30.20949542,-68.74673275,SAN JUAN
RAWSON,26077,-43.31555403,-65.3717721,CHUBUT
GENERAL PAZ,18063,-27.7055629,-57.79496584,CORRIENTES
COMUNA 4,02004,-34.64641355,-58.38427103,CIUDAD DE BUENOS AIRES
COMUNA 10,02010,-34.62768629,-58.48358728,CIUDAD DE BUENOS AIRES
ALMIRANTE BROWN,06028,-34.80155807,-58.39146772,BUENOS AIRES
GENERAL ALVEAR,50014,-35.16899569,-66.50196772,MENDOZA
TALA,30091,-31.99620378,-59.24649058,ENTRE RÍOS
BENITO JUAREZ,06084,-37.5763984,-60.1392005,BUENOS AIRES
GENERAL VIAMONTE,06385,-35.1438182,-61.2992596,BUENOS AIRES
BARADERO,06070,-33.8417492,-59.4518203,BUENOS AIRES
CURACO,42042,-38.74134077,-66.43606534,LA PAMPA
RAMON LISTA,34063,-23.18007636,-62.03032748,FORMOSA
GENERAL VILLEGAS,06392,-34.8579191,-63.1611931,BUENOS AIRES
CORONEL DE MARINA L ROSALES,06182,-38.93877,-61.96122,BUENOS AIRES
COLON,30008,-31.70735861,-58.28660961,ENTRE RÍOS
BERON DE ASTRADA,18014,-27.46421006,-57.46462652,CORRIENTES
LAS HERAS,50049,-32.24008942,-69.45531464,MENDOZA
ZONDA,70133,-31.77467156,-68.91460419,SAN JUAN
MAGDALENA,06505,-35.17544498,-57.51894858,BUENOS AIRES
ADOLFO ALSINA,62007,-40.63358307,-63.50950623,RÍO NEGRO
INDEPENDENCIA,46105,-30.44523,-67.359382,LA RIOJA
GENERAL JOSE DE SAN MARTÍN,66056,-22.16459982,-63.9088426,SALTA
RIVADAVIA,50084,-33.4740166,-68.80969287,MENDOZA
ZAPALA,58112,-38.8224678,-70.00800324,NEUQUÉN
FEDERACION,30028,-30.70681007,-57.88784914,ENTRE RÍOS
BERISSO,06098,-34.84587606,-57.87973336,BUENOS AIRES
CASTELLANOS,82021,-31.38184929,-61.37005997,SANTA FE
SAN ROQUE,18161,-28.88393134,-58.78485627,CORRIENTES
COLLON CURA,58028,-40.22934341,-70.30752564,NEUQUÉN
SAN MARTIN,82126,-31.84254265,-61.56270981,SANTA FE
ROQUE PEREZ,06693,-35.41999054,-59.66501618,BUENOS AIRES
PELLEGRINI,06616,-36.3151294,-63.2094531,BUENOS AIRES
SAN MARTIN,86175,-28.2954,-63.86655,SANTIAGO DEL ESTERO
RANCUL,42126,-35.08643621,-64.92315252,LA PAMPA
PILCOMAYO,34049,-25.11711311,-58.18847657,FORMOSA
MALARGUE,50077,-36.47914887,-69.82659912,MENDOZA
LOVENTUE,42098,-36.72337723,-65.22473908,LA PAMPA
GRANEROS,90035,-27.6423966,-65.5086366,TUCUMÁN
CALINGASTA,70021,-31.30289373,-69.41260371,SAN JUAN
OLAVARRIA,06595,-36.8410918,-60.4478581,BUENOS AIRES
GENERAL LAS HERAS,06329,-34.8223015,-59.1343749,BUENOS AIRES
FAMAILLA,90028,-27.11478,-65.42955,TUCUMÁN
PASO DE LOS LIBRES,18119,-29.87793885,-57.53288465,CORRIENTES
SAN NICOLAS,06763,-33.6042287,-60.4178226,BUENOS AIRES
ISCHILIN,14049,-30.64323498,-64.49851277,CÓRDOBA
SAN ISIDRO,06756,-34.47940181,-58.5074044,BUENOS AIRES
POCHO,14077,-31.31932831,-65.61785889,CÓRDOBA
CHICAL CO,42063,-36.16043091,-68.1297226,LA PAMPA
NAVARRO,06574,-35.0117915,-59.4247779,BUENOS AIRES
SAN COSME,18133,-27.36393313,-58.66198243,CORRIENTES
LEALES,90056,-27.14003944,-65.13464356,TUCUMÁN
CRUZ DEL EJE,14028,-31.0893001,-65.0484771,CÓRDOBA
SAN ALBERTO,14126,-31.79056275,-65.16710187,CÓRDOBA
GENERAL DONOVAN,22056,-27.1738508,-59.26113326,CHACO
ESCOBAR,06252,-34.3007971,-58.7215474,BUENOS AIRES
SALADAS,18126,-28.32076054,-58.54644943,CORRIENTES
LAS COLONIAS,82070,-31.6618986,-61.0112577,SANTA FE
EL ALTO,10056,-28.37478,-65.15865,CATAMARCA
LINCOLN,06469,-35.4981702,-61.8064882,BUENOS AIRES
RIO CUARTO,14098,-32.64751095,-64.22141859,CÓRDOBA
CORONEL FELIPE VARELA,46028,-29.28070259,-68.15567017,LA RIOJA
CHOS MALAL,58042,-37.06895161,-70.38454137,NEUQUÉN
SALADILLO,06707,-35.6504504,-59.8096018,BUENOS AIRES
GENERAL LA MADRID,06322,-37.53062058,-61.56911469,BUENOS AIRES
GENERAL ALVARADO,06280,-38.22244917,-57.89572673,BUENOS AIRES
CORONEL PRINGLES,06196,-37.9951979,-60.8897785,BUENOS AIRES
GUAYMALLEN,50028,-32.92076147,-68.70711858,MENDOZA
YERBA BUENA,90119,-26.77896396,-65.28532084,TUCUMÁN
ISLAS DEL IBICUY,30063,-33.7787707,-58.54070986,ENTRE RÍOS
NOGOYA,30077,-32.17297901,-59.56341301,ENTRE RÍOS
VINCHINA,46098,-28.5085144,-68.50804138,LA RIOJA
SAN JAVIER,14133,-32.01613487,-65.16382005,CÓRDOBA
SAN MIGUEL,18154,-27.78172854,-57.31162693,CORRIENTES
SAN RAFAEL,50105,-34.22018814,-67.91163635,MENDOZA
AMBATO,10007,-27.89856,-65.97863,CATAMARCA
CHACABUCO,06210,-34.66495,-60.44139,BUENOS AIRES
SAN JAVIER,54105,-27.75120279,-55.00895577,MISIONES
ARRECIFES,06077,-33.9628001,-59.8615291,BUENOS AIRES
9 DE JULIO,82077,-29.0758472,-61.73625069,SANTA FE
SAN MARTIN,50098,-33.03597168,-68.47084072,MENDOZA
PUAN,06651,-38.2787652,-63.308047,BUENOS AIRES
CAUCETE,70035,-31.70272711,-68.28587359,SAN JUAN
BERAZATEGUI,06091,-34.83264047,-58.10084123,BUENOS AIRES
ORAN,66126,-22.9746,-64.41384,SALTA
SAN PEDRO,06770,-33.6362648,-59.7862782,BUENOS AIRES
SILIPICA,86189,-28.10344,-64.08491,SANTIAGO DEL ESTERO
LULES,90063,-26.94954,-65.30289,TUCUMÁN
SAN MARTIN,18147,-29.3611063,-56.8024261,CORRIENTES
HIPOLITO YRIGOYEN,06406,-36.1793412,-61.6445672,BUENOS AIRES
EZEIZA,06270,-34.9645699,-58.5460971,BUENOS AIRES
GENERAL BELGRANO,22049,-26.96507701,-61.03071359,CHACO
IRUYA,66070,-22.7747986,-65.14338644,SALTA
RIO CHICO,90077,-27.4543092,-65.603622,TUCUMÁN
MORENO,06560,-34.55865957,-58.81630109,BUENOS AIRES
TOAY,42140,-36.87195836,-64.78146927,LA PAMPA
SANTA BARBARA,38070,-24.13571358,-64.58811188,JUJUY
JUAN B ALBERDI,90042,-27.60163,-65.5373,TUCUMÁN
TELSEN,26105,-42.77024078,-67.66608429,CHUBUT
PICUN LEUFU,58098,-39.18308258,-69.37890625,NEUQUÉN
MBURUCUYA,18098,-27.9570441,-57.93704971,CORRIENTES
CHAMICAL,46035,-30.38569434,-66.26041862,LA RIOJA
FRAY MAMERTO ESQUIU,10063,-28.30193901,-65.72743988,CATAMARCA
SAN LORENZO,22147,-27.25204807,-60.51610474,CHACO
RIO SENGUER,26084,-45.68628224,-70.26062851,CHUBUT
CONCEPCION,18028,-28.26887939,-58.12185639,CORRIENTES
TEHUELCHES,26098,-43.8274765,-69.90713501,CHUBUT
LUJAN,06497,-34.4619848,-59.1744878,BUENOS AIRES
COMUNA 6,02006,-34.6168255,-58.44360311,CIUDAD DE BUENOS AIRES
JUAN F IBARRA,86098,-27.95003,-61.84724,SANTIAGO DEL ESTERO
IGLESIA,70049,-30.27013016,-69.19116211,SAN JUAN
TORNQUIST,06819,-38.41312,-62.79452,BUENOS AIRES
COMUNA 1,02001,-34.62504786,-58.38438723,CIUDAD DE BUENOS AIRES
BIEDMA,26007,-42.32925797,-65.63134766,CHUBUT
JUNIN,06413,-34.5109222,-60.865793,BUENOS AIRES
LANGUIÑEO,26056,-42.66468787,-70.44354981,CHUBUT
IGUAZU,54063,-25.86430349,-54.55489168,MISIONES
FLORENCIO VARELA,06274,-34.8275807,-58.222912,BUENOS AIRES
LAPRIDA,06448,-37.52471,-60.96114,BUENOS AIRES
GENERAL SAN MARTIN,14042,-32.34123693,-62.99621706,CÓRDOBA
SARMIENTO,26091,-45.59720158,-69.14443499,CHUBUT
SAN CARLOS,66154,-25.54455,-65.82056,SALTA
PATIÑO,34035,-24.61192,-60.30033,FORMOSA
IRIONDO,82056,-32.92903431,-61.26562377,SANTA FE
ROSARIO,82084,-33.07901008,-60.91379957,SANTA FE
MINAS,58077,-37.05693858,-70.77617021,NEUQUÉN
LAISHI,34021,-26.65249252,-58.34178925,FORMOSA
CHICLIGASTA,90021,-27.3126707,-65.4820785,TUCUMÁN
BRANDSEN,06119,-34.9854674,-58.1762428,BUENOS AIRES
CAPITAL,54028,-27.47659493,-55.92169961,MISIONES
SAN JAVIER,82098,-29.42420679,-59.97955475,SANTA FE
MAIPU,06511,-37.0161454,-57.4884889,BUENOS AIRES
LEANDRO N ALEM,06462,-34.4448464,-61.3192363,BUENOS AIRES
COMUNA 14,02014,-34.57389998,-58.42243645,CIUDAD DE BUENOS AIRES
COLON,14021,-31.25624481,-63.95340394,CÓRDOBA
