system:index,Code Departamento,Code Provincia,Date (YMD),Departamento,Provincia,codeRio,distanciaRio,estacion,fecha0,fechas,hayRioCercano,idx,lat,lon,runoff_sum,temperature_2m,tipoDeSuelo,total_evaporation_sum,volumetric_soil_water_layer_1,.geo
0,58007,hay que cambiarlo,29/6/2014,hay que cambiarlo,hay que cambiarlo,33712-6513,53.44,invierno,2014-06-23,"[2014-06-23, 2014-06-24, 2014-06-25, 2014-06-26, 2014-06-27, 2014-06-28, 2014-06-29]",false,0,-39.30917583,-70.92970664,3.109574317932129E-4,274.2643362681071,Entisoles,-3.8477592170238495E-4,0.3104515075683594,"{""type"":""Point"",""coordinates"":[-70.92970664,-39.30917583]}"
1,18056,hay que cambiarlo,6/2/2014,hay que cambiarlo,hay que cambiarlo,1369-1019,0.61,verano,2014-02-03,"[2014-02-03, 2014-02-04, 2014-02-05, 2014-02-06, 2014-02-07, 2014-02-08, 2014-02-09]",true,1,-29.10620117,-56.5596695,1.8909573554992676E-4,303.94177500406903,Inceptisoles,-0.006031828001141548,0.26923497517903644,"{""type"":""Point"",""coordinates"":[-56.5596695,-29.10620117]}"
2,70049,hay que cambiarlo,28/10/2014,hay que cambiarlo,hay que cambiarlo,36862-7250,8.99,primavera,2014-10-27,"[2014-10-27, 2014-10-28, 2014-10-29, 2014-10-30, 2014-10-31, 2014-11-01, 2014-11-02]",true,2,-30.27013016,-69.19116211,3.0185282230377197E-4,289.48497200012207,Roca,-0.0019977763295173645,0.06339772542317708,"{""type"":""Point"",""coordinates"":[-69.19116211,-30.270130160000008]}"
3,06364,hay que cambiarlo,12/2/2014,hay que cambiarlo,hay que cambiarlo,6936-2128,20,verano,2014-02-10,"[2014-02-10, 2014-02-11, 2014-02-12, 2014-02-13, 2014-02-14, 2014-02-15, 2014-02-16]",false,3,-34.72117406,-59.01160158,6.033480167388916E-5,295.9463488260905,Complejo indiferenci,-0.00285430159419775,0.45612144470214844,"{""type"":""Point"",""coordinates"":[-59.01160158,-34.72117406]}"
4,86007,hay que cambiarlo,2/3/2015,hay que cambiarlo,hay que cambiarlo,32009-6398,20.73,verano,2015-03-02,"[2015-03-02, 2015-03-03, 2015-03-04, 2015-03-05, 2015-03-06, 2015-03-07, 2015-03-08]",false,4,-28.96850322,-62.90029133,1.5780329704284668E-5,298.2060553232829,Complejo indiferenci,-0.002667028456926346,0.4006811777750651,"{""type"":""Point"",""coordinates"":[-62.90029133,-28.968503220000006]}"
5,46042,hay que cambiarlo,2/3/2015,hay que cambiarlo,hay que cambiarlo,34179-6743,13,verano,2015-03-02,"[2015-03-02, 2015-03-03, 2015-03-04, 2015-03-05, 2015-03-06, 2015-03-07, 2015-03-08]",true,5,-29.10233846,-67.60548106,0.011916190385818481,290.5309251149495,Roca,-0.0034597311168909073,0.2821661631266276,"{""type"":""Point"",""coordinates"":[-67.60548106,-29.102338459999995]}"
6,82035,hay que cambiarlo,2/3/2015,hay que cambiarlo,hay que cambiarlo,33531-6669,2.91,verano,2015-03-02,"[2015-03-02, 2015-03-03, 2015-03-04, 2015-03-05, 2015-03-06, 2015-03-07, 2015-03-08]",true,6,-31.1523125,-60.1365521,0.0015884488821029663,297.8217779795329,Molisoles,-0.002903653308749199,0.42900721232096356,"{""type"":""Point"",""coordinates"":[-60.1365521,-31.152312499999997]}"
7,06760,hay que cambiarlo,25/2/2015,hay que cambiarlo,hay que cambiarlo,50-50,12.96,verano,2015-02-23,"[2015-02-23, 2015-02-24, 2015-02-25, 2015-02-26, 2015-02-27, 2015-02-28, 2015-03-01]",true,7,-34.57514015,-58.69604099,2.5287270545959473E-5,298.1157061258952,Miscelaneas,-0.0031202584505081177,0.31294822692871094,"{""type"":""Point"",""coordinates"":[-58.69604099,-34.575140149999996]}"
8,54119,hay que cambiarlo,25/2/2015,hay que cambiarlo,hay que cambiarlo,63-63,9.3,verano,2015-02-23,"[2015-02-23, 2015-02-24, 2015-02-25, 2015-02-26, 2015-02-27, 2015-02-28, 2015-03-01]",true,8,-27.54825371,-54.76106548,5.4168701171875E-4,297.5615882873535,Alfisoles,-0.004233764484524727,0.4521827697753906,"{""type"":""Point"",""coordinates"":[-54.761065480000006,-27.548253710000004]}"
9,02002,hay que cambiarlo,25/2/2015,hay que cambiarlo,hay que cambiarlo,85-85,1.52,verano,2015-02-23,"[2015-02-23, 2015-02-24, 2015-02-25, 2015-02-26, 2015-02-27, 2015-02-28, 2015-03-01]",true,9,-34.58587601,-58.39499618,3.7977099418640137E-4,298.16298802693683,Miscelaneas,-0.002649463713169098,0.18227767944335938,"{""type"":""Point"",""coordinates"":[-58.39499618,-34.58587601000001]}"
